Barcode ▲,Asset Type,Asset Age,Installation Date,Risk Score,Risk Rating,Asset Condition,Asset Repair Category,Environmental Rating,Impact Rating,Room Code,Site,Building Name,Manager Name,View
1000000,Room Air Conditioners,5,2019-02-03,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,NICB-001,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000001,Water Booster Pumps,5,2018-12-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,5. Severe,COP-001,Cavendish Campus,Copland,Daniel Martinez,View
1000016,Web Slings,11,2012-05-17,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,RT-001,Regent Campus,309 Regent Street,Andrew Wright,View
1000017,Web Slings,12,2011-12-20,92,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,1. Negligible,RT-001,Regent Campus,309 Regent Street,Andrew Wright,View
1000018,Water Booster Pumps,5,2018-08-01,36,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,4. Significant,COP-005,Cavendish Campus,Copland,Daniel Martinez,View
1000019,Water Booster Pumps,7,2016-07-01,40,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,4. Significant,COP-005,Cavendish Campus,Copland,Daniel Martinez,View
1000020,Room Air Conditioners,3,2021-03-09,60,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000021,Roof and Canopy Fall Protection Systems,10,2013-12-08,44,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,5. Severe,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000022,Packaged Chiller Units,12,2011-09-05,45,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,1,4. Significant,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000023,Ventilating Fans - General,5,2019-04-06,63,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,3. Moderate,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000024,Packaged Chiller Units,11,2012-05-14,64,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,4. Significant,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000025,Water Buffer/Surge Tanks,13,2010-09-14,77,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000026,Air Handling Units - General,2,2021-08-01,85,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000027,Ventilating Fans - General,16,2007-11-25,72,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000028,Pumps - General,2,2021-09-21,77,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,4. Significant,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000029,Pumps - General,15,2008-11-09,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,4. Significant,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000030,Heat meter, calculator and temperature probes,1,2022-08-15,78,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000031,Heat meter, calculator and temperature probes,2,2021-09-12,77,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000032,Heat meter, calculator and temperature probes,10,2013-12-02,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000033,Heat meter, calculator and temperature probes,5,2018-12-08,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000034,Pressurisation Units - Chilled Water, Condenser Water and LTHW Types,1,2022-07-21,66,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,2. Minor,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000035,Air Handling Units - General,11,2013-01-26,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000036,Pumps - General,14,2009-05-04,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,4. Significant,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000037,Pumps - General,7,2016-07-26,72,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,4. Significant,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000038,Pumps - General,11,2013-01-04,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,4. Significant,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000039,Pumps - General,5,2019-04-05,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,4. Significant,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000040,Pumps - General,12,2011-05-04,49,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,4. Significant,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000041,Pumps - General,8,2015-08-03,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,4. Significant,COP-007,Cavendish Campus,Copland,Daniel Martinez,View
1000042,Roof and Canopy Fall Protection Systems,4,2019-09-15,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,5. Severe,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000043,Roof and Canopy Fall Protection Systems,2,2021-10-31,73,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,5. Severe,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000044,Cable and Track/Rail Based Safety Systems,10,2013-07-23,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000045,Ventilating Fans - General,19,2005-04-17,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000046,Ventilating Fans - General,17,2006-10-28,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000047,Ventilating Fans - General,3,2020-07-12,84,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000048,Ventilating Fans - General,12,2011-10-03,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000049,Ventilating Fans - General,14,2009-08-16,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000050,Ventilating Fans - General,6,2018-03-20,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,RT-002,Regent Campus,309 Regent Street,Andrew Wright,View
1000051,Air Handling Units - General,8,2016-02-12,56,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000052,Ventilating Fans - General,14,2010-01-17,56,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000053,Room Air Conditioners,5,2019-01-07,45,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000054,Air Handling Units - General,12,2011-09-04,51,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000055,Room Air Conditioners,4,2019-08-26,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000056,Room Air Conditioners,10,2013-09-17,50,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000057,Ventilating Fans - General,17,2006-06-25,58,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,4,2. Minor,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000058,Cable and Track/Rail Based Safety Systems,8,2015-12-12,62,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,COP-006,Cavendish Campus,Copland,Daniel Martinez,View
1000059,Meter Reading - Water,8,2015-05-31,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,COP-003,Cavendish Campus,Copland,Daniel Martinez,View
1000060,Meter Reading - Water,0,2023-05-28,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,COP-003,Cavendish Campus,Copland,Daniel Martinez,View
1000061,Condensers - Air Cooled,15,2009-02-28,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000062,Condensers - Air Cooled,18,2006-02-08,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000063,Condensers - Air Cooled,8,2015-06-21,79,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000064,Condensers - Air Cooled,0,2023-12-16,88,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000065,Condensers - Air Cooled,6,2017-06-06,81,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000066,Condensers - Air Cooled,5,2019-03-21,83,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000067,Condensers - Air Cooled,17,2006-10-26,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000068,Condensers - Air Cooled,9,2014-07-18,54,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000069,Room Air Conditioners,6,2018-02-17,32,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,1,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000070,Room Air Conditioners,1,2022-06-14,62,MEDIUM,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,1,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000071,Room Air Conditioners,5,2019-02-13,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000072,Cable and Track/Rail Based Safety Systems,5,2018-07-27,54,MEDIUM,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,1,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000073,Fixed Access Ladders and Stairs,7,2016-06-28,80,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000074,Cable and Track/Rail Based Safety Systems,7,2016-08-12,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000075,Fixed Access Ladders and Stairs,2,2022-03-16,86,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000076,Cable and Track/Rail Based Safety Systems,10,2014-01-03,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000077,Cable and Track/Rail Based Safety Systems,1,2022-07-29,85,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000078,Sump Pumps and Extended Shaft Sump Pumps,5,2019-04-10,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,CAV-SC-001,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000079,Sewage or Drainage Pumps Submersible,12,2011-06-29,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000080,Sewage or Drainage Pumps Submersible,6,2018-03-04,88,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,4. Significant,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000081,Sewage or Drainage Pumps Submersible,12,2011-08-07,73,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,4. Significant,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000082,Meter Reading - Water,11,2012-10-28,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000083,Meter Reading - Water,20,2004-03-31,64,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000084,Meter Reading - Water,13,2010-11-22,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000085,Emergency eye wash station (Plumbed System),7,2016-11-26,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,3. Moderate,NRF-001,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000086,Emergency eye wash station (Plumbed System),6,2017-11-07,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,NRF-002,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000087,Air Handling Units - General,1,2023-01-08,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000088,Air Handling Units - General,11,2012-06-03,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000089,Solenoid Gas/Oil Shut-off (Safety) Valves,5,2018-08-28,77,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,5. Severe,NICB-004,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000090,Air Handling Units - General,14,2010-04-07,58,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000091,Air Handling Units - General,12,2011-10-05,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,CAV-SC-002,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000092,Sewage or Drainage Pumps Submersible,6,2018-03-26,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000093,Sewage or Drainage Pumps Submersible,11,2013-04-10,69,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,4. Significant,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000094,Sewage or Drainage Pumps Submersible,13,2011-01-25,66,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,4. Significant,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000095,Sewage or Drainage Pumps Submersible,11,2012-11-10,69,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,4. Significant,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
